基金简称,基金公司,省份
子衿云杉,湖南子衿私募,湖南
能敬价值优选二号,能敬投资控股,广东
能敬卓瑜二号,能敬投资控股,广东
天辉霍格1号,天辉(上海)私募,上海
滨利忠愚成长13号,滨利投资,广东
丹羿鹏程1号1期,丹羿投资,上海
老友天玑一号,上海太盈,上海
富延1号,富延资本,广东
海富启航壹号,前海海富资产,广东
富延3号,富延资本,广东
优波三号A类份额,优波资本,上海
海富启航贰号B类份额,前海海富资产,广东
沁昇吉迈顿人生赢家,沁昇基金,广东
沁昇吉迈顿一号,沁昇基金,广东
富延盛世1号,富延资本,广东
沁昇价值量化一号,沁昇基金,广东
沁昇吉迈顿双击,沁昇基金,广东
富延龙盛3号,富延资本,广东
天辉霍格2号B类份额,天辉(上海)私募,上海
龙航一期,龙航资产,浙江
知高鑫选8号,知高投资,北京
微方大观1号A类份额,微方基金,上海
嘉蕾1号,中晟睿智,北京
微方大观1号B类份额,微方基金,上海
沁昇吉迈顿挑战,沁昇基金,广东
荣俊2号,玖歌投资,上海
富延龙盛7号,富延资本,广东
弈祖青圭礼东,弈祖投资,上海
沁昇吉迈顿峰境,沁昇基金,广东
龙成1号,富延资本,广东
博衍医疗健康1号A类份额,杭州博衍私募,浙江
望华卓越高分红价值成长私募证券投资基金,望华卓越,山东
玉牛劲道,玉牛资产,上海
富延7号,富延资本,广东
上海黑极资产价值精选7号(健康中国),黑极私募基金,上海
沣收2号,珠海正沣私募,广东
歌汝奇点,上海歌汝私募,上海
伏明转型成长一期,伏明资产,上海
上海高恩医药进取3号A类份额,上海高恩私募,上海
同犇22期,同犇投资,上海
量创量化北证选股1号A类份额,量创投资,广东
枫缘富盈1号,上海枫缘私募,上海
美港一期母基金,美港资本,浙江
禧悦1号,北京禧悦私募,北京
森瑞医药核心资产,森瑞投资,广东
三和全球创新医药,三和创赢,广东
龙航东方专享一号,龙航资产,浙江
北恒二期,北恒基金,海南
富延龙盛1号,富延资本,广东
毅然创世一期,毅然资产,北京
泽源深昇7号A类份额,深圳泽源,广东
森瑞医疗创新,森瑞投资,广东
碓泉可变阿尔法进取一号B类份额,水碓泉资产,浙江
森瑞生命科技,森瑞投资,广东
同犇智慧1号,同犇投资,上海
龙航十九期,龙航资产,浙江
禧悦稳健成长1号,北京禧悦私募,北京
信迹同泰1号,信迹投资,山东
泽源致诚贝特量化1号A类份额,深圳泽源,广东
蚂金青山进取一号,巨熊,广东
信成慕陶1号,信成(北京)私募,北京
久铭仟量1号,久铭投资,上海
森瑞医药核心资产二号,森瑞投资,广东
鸣鹤趋势价值1号A类份额,鸣鹤私募,北京
顺时代高维价值六号,顺时代,广东
嘉理嘉邑稳进1号,嘉理资产,广东
远信中国积极成长C类份额,远信投资,广东
信成金台4号,信成(北京)私募,北京
德远扬帆一号,德远投资,广东
浩坤神龙八号,浩坤昇发资产,浙江
同犇智慧2号证券,同犇投资,上海
君弘神仙树1号,君弘投资,广东
建隆安升6号,建隆资本,北京
今通量化价值成长六号,今通投资,上海
珊瑚至简-共创辉煌,一久私募基金,海南
全成正宇A类份额,全成基金,海南
正沣沣元1号C类份额,珠海正沣私募,广东
三和创赢泰山1号,三和创赢,广东
孚盈进取一号,孚盈投资,浙江
新伯霖健康成长1号,新伯霖私募,上海
千瓴龙腾二号,海南千瓴私募,海南
兆意宏起66号,兆意投资,江西
珺洲吉祥1号A类份额,珺洲私募,北京
善思精致7号B类份额,善思投资,江西
卓远3号,卓远基金,湖南
珊瑚至简-创盈鑫,一久私募基金,海南
工场云阳一期,云阳宜品投资,江苏
华锦祥云资源2号,华锦祥云资产,湖北
华锦祥云资源1号,华锦祥云资产,湖北
广东臻远-臻远一号,广东臻远私募,广东
朴润军永,朴润资产,浙江
三和创赢兆盈8号,三和创赢,广东
盛冠达股票量化2号C类份额,盛冠达,海南
暨创汇海润价值B类份额,暨创汇基金,广东
云阳二期A类份额,云阳宜品投资,江苏
晶上量子1号,菁上甲万,上海
小熊猫指数增强1号B类份额,小熊猫资产,湖南
桓睿天泽价值成长,广东桓睿天泽私募,广东
长承汇美益佳壹号,长承私募,广东
榕树君子弘毅,榕树投资,广东
金砖资本5号,把脉私募,广东
珊瑚至简-创盈众,一久私募基金,海南
小熊猫指数增强1号A类份额,小熊猫资产,湖南
正班珩钰至善1号,正班基金,浙江
天证创新9号,天证资产,广东
三和创赢战投1期,三和创赢,广东
龙航十八期,龙航资产,浙江
龙航二期,龙航资产,浙江
上海意志坚定1期,意定投资,上海
懿和轩稳健1号,懿和轩投资,江苏
君子乾乾科技成长3号A类份额,君子乾乾,广东
利昇中港通,利昇投资,广东
指南创远,指南基金,上海
北京古山投资二号A类份额,古山投资,北京
桓睿天泽核心成长,广东桓睿天泽私募,广东
久铭佰量1号A类份额,久铭投资,上海
晨鸣12号B类份额,晨耀私募,上海
秉怀秉林3号,秉怀私募,浙江
磊暄安心1号,海南磊暄私募,海南
数弈众城多策略1期,数弈众城投资,江苏
晨鸣12号C类份额,晨耀私募,上海
浩坤龙行一号,浩坤昇发资产,浙江
持赢精诚所至A类份额,持赢私募,江苏
桓睿天泽逆向成长优选,广东桓睿天泽私募,广东
昊业行稳致远二号,昊业资产,广东
龙吟,海南龙吟虎啸私募,海南
和谐汇一医疗创新B类份额,和谐汇一资产,上海
善思乾能捌号,善思投资,江西
劲恒咚咚,海南劲恒私募,海南
巴克夏高能6号,巴克夏投资,浙江
龙航六期,龙航资产,浙江
江亿资本复兴之路二期,江亿资本,北京
旭冕景健B类份额,旭冕投资,上海
三和创赢-高华1号,三和创赢,广东
华洲德庆,华洲投资,湖南
枫缘燕盟1号,上海枫缘私募,上海
信持力定增精选28号,信持力资产,浙江
墨钜之星1号A类份额,墨钜资产,浙江
一久久创,一久私募基金,海南
路远睿泽稳增,路远私募,海南
聚亿悦尔三号,聚亿基金,广东
源弈笑傲新常态1号,源弈资产,浙江
高维价值一号,顺时代,广东
劲恒投资劲恒1号,海南劲恒私募,海南
泽元通宝1号B类份额,泽元投资,广东
龙凤飞尺度长期价值1号,龙凤飞私募,四川
红石良华稳健成长壹号,红石资产,江西
稳博小盘激进择时指增1号,稳博投资,上海
杨湜微盘股增强1号C类份额,杨湜资产,上海
泾溪晓锋成长2号,泾溪投资,上海
嘉理套利对冲,嘉理资产,广东
和众行弦聚成长,和众行资产,广东
杨湜微盘股增强1号B类份额,杨湜资产,上海
卓铸卓越4号,上海卓铸私募,上海
和聚世然1期D类份额,北京和聚投资,北京
龙旗科技创新精选1号C类份额,龙旗科技,浙江
碓泉可变阿尔法进取二号B类份额,水碓泉资产,浙江
鸿顺和云一资产金苹果,鸿顺和投资,广东
三和新时代8号,三和创赢,广东
守正用奇指增1号A类份额,广州守正用奇,广东
浩坤精选一号,浩坤昇发资产,浙江
堡利特量化1号,堡利特资管,北京
信迹鲁阳1号,信迹投资,山东
聚联汇3号B类份额,聚联汇投资,广东
遥翎资本国强飓风4号,遥翎资本,福建
希尔价值1号,成都希尔私募,四川
北恒星汉恒源B类份额,北恒基金,海南
泽元通宝5号B类份额,泽元投资,广东
鹿秀全市场增强1号,鹿秀投资,山东
盛天价值成长8号,盛天投资,广东
路远睿泽2号A类份额,路远私募,海南
浩坤精选二号,浩坤昇发资产,浙江
彤源同裕1期C类份额,彤源投资,上海
行必达质真,行必达(厦门)私募,福建
映开九嘉,映开资产,上海
彤天金时1号A类份额,彤天基金,江苏
遥翎资本国强乘风3号,遥翎资本,福建
嘉伦精选23号,嘉伦投资,湖北
量盈日升专享1号A类份额,量盈投资,浙江
泰舜小太阳12号B类份额,泰舜资产,北京
尊道强毅核心价值成长A类份额,前海宁致,广东
润筠长江4号,润筠投资,上海
嘉之逸嘉亨1号,共青城嘉之逸私募,江西
龙腾医疗健康基金,龙腾资产,广东
玖歌精选5号,玖歌投资,上海
中闽汇金稳健一期,中闽汇金,福建
孚盈进取二号,孚盈投资,浙江
守正用奇指数增强2号A类份额,广州守正用奇,广东
嘉德全球视野1号A类份额,嘉德全球私募,广东
聚力长江1号,聚力基金,湖南
磊暄进程1号B类份额,海南磊暄私募,海南
光华复兴1号,北京光华私募,北京
三和创赢红利1号,三和创赢,广东
梦工场建辉致知,深圳市梦工场投资,广东
日斗丰益,日斗投资,广东
持赢持之以恒A类份额,持赢私募,江苏
进化论多棱镜中证2000指数增强B类份额,进化论资产,海南
弘石长安1号,弘石基金,广东
久期量和中证1000指数增强型,久期量和,上海
元涞潜龙稳健1号A类份额,上海元涞私募,上海
高鼎助力2号A类份额,上海高鼎私募,上海
嘉德全球视野2号A类份额,嘉德全球私募,广东
梦工场建辉学日益,深圳市梦工场投资,广东
进化论多棱镜中证2000指数增强A类份额,进化论资产,海南
梦工场建辉,深圳市梦工场投资,广东
易德九号C类份额,易德基金,广东
中闽汇金量化2号,中闽汇金,福建
紫杰宏阳1号,上海紫杰私募,上海
裕恒资本双龙6号,裕恒资本,浙江
持赢持之以恒B类份额,持赢私募,江苏
聚亿奇点1号,聚亿基金,广东
前海和泽盛世成长5号,前海和泽,广东
龙旗量化多头5号A类份额,龙旗科技,浙江
新思哲多策略3期,新思哲投资,广东
浩坤精选三号,浩坤昇发资产,浙江
农夫1号,农夫私募,浙江
禧悦三石A类份额,北京禧悦私募,北京
龙旗股票量化多头1号,龙旗科技,浙江
澎湃权益1号,海南澎湃私募,海南
平方和鼎盛中证2000指数增强21号A期,平方和投资,浙江
巴克夏周周利3号,巴克夏投资,浙江
农夫3号,农夫私募,浙江
秋阳博盈1号,天津秋阳成长私募,天津
开思瑋石,开思私募,上海
君子乾乾科技成长0号,君子乾乾,广东
翰荣安晟进取一号B类份额,翰荣投资,广东
东宏海赢价值,东宏私募,山东
煜诚成长C类份额,北京煜诚私募,北京
昊业西岭投资2号,昊业资产,广东
鼎泰四方福宝成长3号,鼎泰四方(深圳),广东
顺为有道顺鑫启航一号,顺为有道投资,福建
复胜正能量二号,复胜资产,上海
裕恒资本恒毅9号,裕恒资本,浙江
梦工场建辉格物,深圳市梦工场投资,广东
创富兆业福星二期1号,创富兆业,广东
信弘征程2号B类份额,信弘天禾,北京
进化论金选量化多空1号1期,进化论资产,海南
泽元通宝2号,泽元投资,广东
裕恒资本双龙8号,裕恒资本,浙江
旗泓长鑫达8号,海南旗泓私募,海南
泓顺旗舰,致顺投资,北京
梦工场五辰,深圳市梦工场投资,广东
紫杰满江红2号,上海紫杰私募,上海
明华信德新能源嘉信1期,明华信德,广东
鹿秀长颈鹿7号,鹿秀投资,山东
聚隆多策略2号,聚隆私募,广东
钦沐创新生活1期,钦沐资产,上海
盛丰量化选股3号,海南盛丰私募,海南
巴克夏月月利2号,巴克夏投资,浙江
钦沐创新生活3期,钦沐资产,上海
裕恒资本双龙5号,裕恒资本,浙江
上海黑极资产价值精选5号,黑极私募基金,上海
念觉量臻量化精选优盛1号,念觉私募,上海
宽源淳真1号,宽源,广东
贰拾壹点龙腾一号,贰拾壹点私募,上海
招金卓越1号,招金私募投资,山东
龙旗中证2000指增1号,龙旗科技,浙江
盛丰量化选股迎春1号B类份额,海南盛丰私募,海南
稳博兴享匠心选股1号1期,稳博投资,上海
中闽汇金量化1号B类份额,中闽汇金,福建
丰源正鑫优势精选,丰源正鑫,上海
德合南岳量化一号B类份额,武汉德合私募,湖北
复胜正能量八号,复胜资产,上海
优波二号A类份额,优波资本,上海
盛丰量化选股1号,海南盛丰私募,海南
道衍中性B类份额,上海道衍私募,上海
聚力共赢一号,聚力基金,湖南
壹点纳锦聚家缘A类份额,壹点纳锦(泉州)私募,福建
航长鹰眼2号,航长投资,广东
复胜盛业二号,复胜资产,上海
橡木望江二号,橡木资产,浙江
全成阳韬量化,全成基金,海南
世达映日荷花稳健型B类份额,世达基金,上海
江亿行健2期,江亿资本,北京
臻牛时间换1号,臻牛(厦门)私募,福建
天算中证2000指数增强1号A类份额,天算量化,北京
创富福星2020一期,创富兆业,广东
壹点纳锦奋发A基金A类份额,壹点纳锦(泉州)私募,福建
壹点纳锦九道,壹点纳锦(泉州)私募,福建
融裕路易,海南融裕私募,海南
卓铸卓越1号,上海卓铸私募,上海
阿巴马乘风破浪A类份额,阿巴马投资,广东
金砖悦力,把脉私募,广东
双隆-隆云1号,双隆投资,上海
衍复专享小市值指数增强2号,衍复投资,上海
路远鼎盛,路远私募,海南
信弘骐民量化精选6号,信弘天禾,北京
优波私募基金,优波资本,上海
紫杰宏阳8号A类份额,上海紫杰私募,上海
复胜正能量三号,复胜资产,上海
新思哲多策略9期,新思哲投资,广东
壹点纳锦宏亚A类份额,壹点纳锦(泉州)私募,福建
日斗晋盈一号,日斗投资,广东
衍复专享小市值指数增强1号,衍复投资,上海
云起量化金选3号,云起量化,浙江
聚亿凡旭,聚亿基金,广东
立龙安盈一号,立龙资产,上海
开思沪港深优选3号,开思私募,上海
复胜正能量一期,复胜资产,上海
云起量化指数增强1号,云起量化,浙江
日斗稼穑,日斗投资,广东
箐安进取二号,箐安投资,上海
绰瑞北岳25号,上海绰瑞私募,上海
元兹富兴B类份额,元兹投资,上海
