企业名称,信用代码,企业注册地
中机中联工程有限公司,9150010720288713XA,重庆市九龙坡区渝州路17号
北京中联环建设工程管理有限公司,91110108633730783N,北京市海淀区三里河路13号北塔9010室
云南卓翔工程项目管理有限责任公司,91530103MABR94YG93,云南省昆明市宜良县匡远街道办事处温泉路19-5、6、7号
大鹏工程管理有限公司,91330421761315656M,嘉善县干窑镇叶新路88号305室
宾川县建设监理有限责任公司,915329247098452628,宾川县金牛镇桑园小区建设大楼三楼
云南镕顺建设工程管理（集团）有限公司,91530000MA6K67T96B,云南省昆明市西山区西福路西华公园镕诚书院2-4号
云南连信工程管理服务有限责任公司,91530181MA6Q84NQ57,云南省昆明市安宁市永安广场写字楼C幢2303号房
云南硕宇建设工程管理有限公司,91530181MA6PEELL0C,云南省昆明市安宁市连然街道金色理想6栋1404
云南设防工程监理有限公司,91530111MA6QLEPY1F,云南省昆明市呈贡区广电苑住宅小区六号地块（和园）二期6-A幢404号
云南联合知达工程项目管理有限公司,91530103MA6QB7BF37,云南省昆明市盘龙区新兴巷霖岚广场A座1501号
昆明建设咨询管理有限公司,91530100216613754T,昆明市西山区前卫镇日新中路620号润城第一大道2栋9楼
云南公路桥梁市政工程监理咨询有限公司,915300007134051639,云南省昆明市盘龙区江东时代花园A幢1805号
保山凌峰工程监理有限公司,91530500709897687F,云南省保山市隆阳区泰龙建材市场B区95号
昆明劲风建设监理有限公司,91530100719431864Q,昆明市梁源小区5组团5幢4单元202号
北京求实工程管理有限公司,9111010263305501X3,北京市西城区北展北街5、7、9、11、13、15、17号9层17#1002室
云南杰圣项目管理咨询有限公司,91532601MAC7QYMK3X,云南省文山壮族苗族自治州马关县马白镇逢春大道旁尚水澜山小区A11幢102室
中泰天顺集团有限责任公司,91511700709175916L,四川省达州市通川区西胜街港都月光城B栋3楼
云南正盛工程项目管理有限公司,91530100MA6Q1WL164,云南省昆明市高新区商院路百大悦尚西城2栋D座2715室
长沙华星建设监理有限公司,914301007279767251,长沙市雨花区洞井铺
云南鑫奎建设监理有限公司,91530111MAC6FENE5M,云南省大理白族自治州大理市下关街道环城南路53号腾瑞 .幸福里小区1-1栋24层2412号
腾若工程项目管理咨询（云南）有限公司,91530100MA6QFNQL36,云南省昆明高新区科泰路海伦中心1座1508号
云南华益工程管理咨询有限公司,9153010077266179X1,云南省昆明市滇池度假区广福路南悦城一期1幢4层406-408号
云南蓝铂工程项目管理有限公司,91530103MA7ME8JT6G,云南省昆明市盘龙区北京路北辰财富中心C幢2604
云南天指道建设有限公司,91530103MA6NUM7E15,云南省昆明市五华区教益路长城小区20栋2单元102室
楚雄联盛工程监理咨询有限公司,91532300787396298B,云南省楚雄彝族自治州楚雄市开发区丰胜路南侧中国轻纺城楚雄市场9幢6单元340室
云南荣睦工程监理咨询有限公司,91530702MACDJ86R52,云南省丽江市古城区祥和街道办事处太和西路锦绣苑小区1幢15号
云南嘉园工程项目管理有限公司,91530103MA7LKHMB41,云南省西双版纳傣族自治州景洪市嘎洒镇英华公司综合市场4栋2单元301室
四川西南工程项目管理咨询有限责任公司,9151010076861064X3,成都市高新区天府大道北段866号
云南诺柯工程项目管理有限公司,91530100MACPN54R74,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办事处海子社区海子村74号
云南世纪阳光建筑设计有限公司,91530000727321702W,云南省昆明市西山区明波高架桥西北侧昆明宏盛达月星商业中心1-2幢2单元24层2405室、2406室
云南腾昭监理咨询有限公司,91530602MA6K5LAK83,云南省昭通市昭阳区北部新洲8幢2单元504
云南丹一建设项目管理有限公司,91532531MA6PTMUJ51,云南省昆明市盘龙区穿金路保利中航玺樾一期5幢902室
云南智胜建设项目管理有限公司,91530100MA6K3BWT3R,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办顺通社区国际银座B4幢2606号
凯邦建设管理集团有限公司,91510105725354703M,成都市青羊区腾飞大道189号青羊工业总部基地F15栋7楼
云南臻信工程管理有限公司,91530103MA7LDWER72,云南省昆明市盘龙区江东时代花园A幢28层2805号
云南晨阳精诚建设监理咨询有限公司,91532901668290861T,云南省大理白族自治州大理市下关建设路钢管厂北侧文苑商住楼
云南城市建设项目管理咨询有限公司,915300007506577149,云南省昆明市前卫西路润城小区A4地块2栋26层2601室
恒之宇工程集团有限公司,914101056897117091,河南省郑州市金水区国基路7号
义和伟工程项目管理有限公司,91510105MA6CU1Y01K,成都市青羊区瑞南街49号
云南监协工程咨询有限公司,91530000713411440R,云南省昆明市西山区气象路70号
云南中大咨询有限公司,9153000076707104X4,云南省昆明市盘龙区东华街道办事处霖岚广场B座2301号
云南翰文工程咨询有限公司,915301005848008526,云南省昆明市高新技术产业开发区商院路百大尚悦西城1幢A座18层1821-1822室
云南吉利建设管理咨询有限公司,91530103MA6Q6XLX8G,云南省丽江市古城区祥和街道庆云路祥和顺天南片商网9-3号
云南风蓝项目投资咨询集团有限公司,91530000098129389X,中国（云南）自由贸易试验区昆明片区官渡区小板桥街道办事处大都摩天二期1号楼28楼2803C号
