2025-04-28 21:47:39.446 | INFO     | __main__:<module>:26 - 正在访问目标网页: https://www.mafengwo.cn/sales/8539850.html
2025-04-28 21:47:46.301 | INFO     | __main__:<module>:36 - 定位滑块和背景图片...
2025-04-28 21:48:56.007 | INFO     | __main__:<module>:26 - 正在访问目标网页: https://www.mafengwo.cn/sales/8539850.html
2025-04-28 21:48:59.158 | INFO     | __main__:<module>:36 - 定位滑块和背景图片...
2025-04-28 21:49:19.163 | ERROR    | __main__:<module>:42 - 未找到滑块或背景图片，请检查选择器
2025-04-28 21:50:15.007 | INFO     | __main__:<module>:26 - 正在访问目标网页: https://www.mafengwo.cn/sales/8539850.html
2025-04-28 21:50:19.483 | INFO     | __main__:<module>:36 - 定位滑块和背景图片...
2025-04-28 21:50:39.521 | ERROR    | __main__:<module>:42 - 未找到滑块或背景图片，请检查选择器
2025-04-28 21:58:05.444 | INFO     | __main__:<module>:26 - 正在访问目标网页: https://www.mafengwo.cn/sales/8539850.html
2025-04-28 21:58:09.195 | INFO     | __main__:<module>:36 - 定位滑块和背景图片...
2025-04-28 21:58:29.200 | ERROR    | __main__:<module>:42 - 未找到滑块或背景图片，请检查选择器
2025-04-28 22:23:30.045 | INFO     | __main__:<module>:26 - 正在访问目标网页: https://www.mafengwo.cn/sales/8539850.html
2025-04-28 22:23:34.047 | INFO     | __main__:<module>:36 - 定位滑块和背景图片...
2025-04-28 22:23:54.215 | ERROR    | __main__:<module>:42 - 未找到滑块或背景图片，请检查选择器
